,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
305,"Adana, Türkiye",02/04/2020,51.6,48.0,50.1,46.1,,0.07,0,0,8.4,62.04,,3.3,65.3,88.84,"Rain, Partially cloudy"
306,"Adana, Türkiye",02/05/2020,59.1,50.0,54.8,47.7,,0.33,0,0,9.7,83.5,,3.8,69.2,93.51,"Rain, Partially cloudy"
307,"Adana, Türkiye",02/06/2020,66.9,53.8,59.0,,,0.26,0,0,21.3,146.83,35.3,5.3,67.8,79.45,"Rain, Partially cloudy"
308,"Adana, Türkiye",02/07/2020,54.4,48.2,51.5,45.4,,0.52,0,0,11.3,184.75,21.9,4.7,66.8,87.81,"Rain, Partially cloudy"
309,"Adana, Türkiye",02/08/2020,49.3,38.9,45.3,29.9,,0.06,0,0,21.2,157.5,38.2,5.2,52.3,50.48,"Rain, Partially cloudy"
310,"Adana, Türkiye",02/09/2020,44.6,32.5,38.7,23.1,,0.0,0,0,18.8,129.67,38.0,6.2,6.2,27.39,Clear
311,"Adana, Türkiye",02/10/2020,44.3,27.2,36.8,24.9,,0.0,0,0,22.3,117.92,31.1,6.2,20.8,39.62,Clear
312,"Adana, Türkiye",02/11/2020,41.5,25.1,35.4,26.3,,0.0,0,0,8.7,63.04,,5.7,51.6,45.14,Partially cloudy
313,"Adana, Türkiye",02/12/2020,46.1,40.7,42.9,35.8,,0.0,0,0,14.5,76.83,,6.2,76.9,58.2,Overcast
314,"Adana, Türkiye",02/13/2020,48.2,40.0,42.5,32.5,,0.0,0,0,14.6,63.63,30.0,5.3,64.2,76.07,Partially cloudy
315,"Adana, Türkiye",02/14/2020,59.0,34.3,46.6,29.6,,0.0,0,0,13.9,76.79,,6.0,5.3,57.36,Clear
316,"Adana, Türkiye",02/15/2020,60.0,46.4,52.1,42.2,,0.0,0,0,20.4,41.29,,6.2,51.8,31.46,Partially cloudy
317,"Adana, Türkiye",02/16/2020,61.5,46.1,52.7,41.8,,0.12,0,0,15.6,46.71,,6.2,47.2,51.36,"Rain, Partially cloudy"
318,"Adana, Türkiye",02/17/2020,66.9,38.0,52.1,39.0,,0.0,0,0,8.1,149.92,,6.0,0.2,51.17,Clear
319,"Adana, Türkiye",02/18/2020,66.0,40.9,53.5,42.8,,0.0,0,0,14.8,55.67,,6.2,28.3,50.44,Partially cloudy
320,"Adana, Türkiye",02/19/2020,71.4,46.3,57.3,45.2,,0.0,0,0,11.9,98.5,,6.2,16.8,54.19,Clear
321,"Adana, Türkiye",02/20/2020,65.9,43.7,54.7,39.4,,0.0,0,0,17.3,95.42,,6.2,30.1,72.27,Partially cloudy
322,"Adana, Türkiye",02/21/2020,59.5,51.5,54.2,,,1.7,0,0,14.4,97.79,,4.6,66.5,93.52,"Rain, Partially cloudy"
323,"Adana, Türkiye",02/22/2020,61.6,49.7,54.6,46.9,,0.47,0,0,8.7,122.88,,6.0,69.7,82.64,"Rain, Partially cloudy"
324,"Adana, Türkiye",02/23/2020,57.5,50.0,53.8,47.9,,0.52,0,0,8.7,127.42,,4.7,67.0,88.23,"Rain, Partially cloudy"
325,"Adana, Türkiye",02/24/2020,69.6,45.6,57.0,46.2,,0.0,0,0,9.3,116.04,,5.4,44.1,68.01,Partially cloudy
326,"Adana, Türkiye",02/25/2020,67.7,48.6,57.2,46.6,,0.0,0,0,11.3,48.96,,5.6,5.2,59.11,Clear
327,"Adana, Türkiye",02/26/2020,66.9,41.5,53.9,38.9,,0.0,0,0,9.1,166.29,,6.2,0.1,61.61,Clear
328,"Adana, Türkiye",02/27/2020,64.4,46.4,55.4,43.8,,0.0,0,0,6.9,109.71,,5.9,52.8,78.81,Partially cloudy
329,"Adana, Türkiye",02/28/2020,67.0,51.5,57.5,,,0.0,0,0,7.7,131.42,,6.0,61.8,79.3,Partially cloudy
330,"Adana, Türkiye",02/29/2020,61.5,50.0,54.0,48.1,,1.12,0,0,10.7,112.04,,5.6,65.3,90.32,"Rain, Partially cloudy"
331,"Adana, Türkiye",03/01/2020,64.4,47.5,54.8,46.3,,1.22,0,0,9.6,137.21,,5.8,26.8,81.45,"Rain, Partially cloudy"
